date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:51	61091/61091	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Sep%202021%2007:41:52%20GMT	http://koylakebab.thedesigncircle.in/	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/index.html	(from )
00:29:52	132997/132997	---M--	200	added ('OK')	text/css	date:Mon,%2029%20May%202017%2013:45:02%20GMT	http://koylakebab.thedesigncircle.in/css/bootstrap.css	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/css/bootstrap.css	(from http://koylakebab.thedesigncircle.in/)
00:29:54	11570/11570	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Aug%202021%2016:16:22%20GMT	http://koylakebab.thedesigncircle.in/css/base.css	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/css/base.css	(from http://koylakebab.thedesigncircle.in/)
00:29:54	21988/21988	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Sep%202021%2007:52:54%20GMT	http://koylakebab.thedesigncircle.in/css/main.css	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/css/main.css	(from http://koylakebab.thedesigncircle.in/)
00:29:54	3968/3968	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Sep%202021%2018:37:28%20GMT	http://koylakebab.thedesigncircle.in/css/flexslider.css	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/css/flexslider.css	(from http://koylakebab.thedesigncircle.in/)
00:29:56	132792/132792	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Aug%202021%2014:39:45%20GMT	http://koylakebab.thedesigncircle.in/css/fonts.css	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/css/fonts.css	(from http://koylakebab.thedesigncircle.in/)
00:30:16	119249/119249	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Aug%202021%2010:13:14%20GMT	http://koylakebab.thedesigncircle.in/img/image/2.jpeg	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/img/image/2.jpg	(from http://koylakebab.thedesigncircle.in/)
00:30:20	137960/137960	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Aug%202021%2010:13:20%20GMT	http://koylakebab.thedesigncircle.in/img/image/4.jpeg	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/img/image/4.jpg	(from http://koylakebab.thedesigncircle.in/)
00:30:21	318/318	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Sep%202021%2019:05:02%20GMT	http://koylakebab.thedesigncircle.in/img/signature.png	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/img/signature.a.delayed	(from http://koylakebab.thedesigncircle.in/)
00:30:27	180964/180964	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Aug%202021%2010:13:18%20GMT	http://koylakebab.thedesigncircle.in/img/image/3.jpeg	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/img/image/3.jpg	(from http://koylakebab.thedesigncircle.in/)
